,0,1,2,3,4,5,6,7,8,9,10
3795,698246003,Janibacter hoylei,active,2014-01-31,Janibacter hoylei (organism),Janibacter hoylei,Janibacter 409828004,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Form-bacillus 416455007 Actinobacteria 409823008 Class Actinobacteria 413857000 Actinobacteridae 409835007 Actinomycetales 409833000 Suborder Micrococcineae 415656009 Family Intrasporangiaceae 409829007 Janibacter 409828004 Janibacter hoylei 698246003,sorted most to least specificJanibacter 409828004Family Intrasporangiaceae 409829007Suborder Micrococcineae 415656009Actinomycetales 409833000Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3797,115138008,Jonesia,active,2002-01-31,Genus Jonesia (organism),JonesiaGenus JonesiaJonesia species,Non-Sporing Gram Positive Rods 115198006Jonesiaceae 425454003,Jonesia denitrificans 113769000Jonesia quinghaiensis 431289002Jonesia species 131314002 removed: 2015-01-31,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Jonesia 115138008SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Form-bacillus 416455007 Actinobacteria 409823008 Class Actinobacteria 413857000 Actinobacteridae 409835007 Actinomycetales 409833000 Suborder Micrococcineae 415656009 Jonesiaceae 425454003 Jonesia 115138008,sorted most to least specificJonesiaceae 425454003Non-Sporing Gram Positive Rods 115198006Gram-positive bacillus 83514008Suborder Micrococcineae 415656009Firmicutes 115195009Gram-positive bacteria 8745002Actinomycetales 409833000Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3799,113769000,Jonesia denitrificans,active,2002-01-31,Jonesia denitrificans (organism),Listeria denitrificansJonesia denitrificans,Jonesia 115138008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Jonesia 115138008 Jonesia denitrificans 113769000,sorted most to least specificJonesia 115138008Non-Sporing Gram Positive Rods 115198006Jonesiaceae 425454003Gram-positive bacillus 83514008Suborder Micrococcineae 415656009Firmicutes 115195009Actinomycetales 409833000Gram-positive bacteria 8745002Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3801,417655009,Kerstersia,active,2005-07-31,Genus Kerstersia (organism),KerstersiaGenus KerstersiaKerstersia species,Alcaligenaceae 409866001,Kerstersia gyiorum 417628000,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Form-bacillus 416455007 Gram-negative bacillus 87172008 Alcaligenaceae 409866001 Kerstersia 417655009,sorted most to least specificAlcaligenaceae 409866001Gram-negative bacillus 87172008Burkholderiales 409854007Form-bacillus 416455007Betaproteobacteria 409853001Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3803,417628000,Kerstersia gyiorum,active,2005-07-31,Kerstersia gyiorum (organism),Kerstersia gyiorum,Kerstersia 417655009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Form-bacillus 416455007 Gram-negative bacillus 87172008 Alcaligenaceae 409866001 Kerstersia 417655009 Kerstersia gyiorum 417628000,sorted most to least specificKerstersia 417655009Alcaligenaceae 409866001Gram-negative bacillus 87172008Burkholderiales 409854007Form-bacillus 416455007Betaproteobacteria 409853001Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3805,32017003,Kingella,active,2002-01-31,Genus Kingella (organism),Genus KingellaKingella speciesKingella,Neisseriaceae 115072003Gram-negative aerobic rod 115172000Gram-negative coccobacillus 53932007,Kingella denitrificans 78676004Kingella kingae 90422000Kingella negevensis 55461000146107Kingella oralis 129080004Kingella potus 423288009Kingella species 131313008 removed: 2015-01-31,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Gram-negative coccus 18383003 Neisseriaceae 115072003 Kingella 32017003SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Gram-negative aerobic rod 115172000 Kingella 32017003SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Gram-negative coccobacillus 53932007 Kingella 32017003,sorted most to least specificGram-negative coccobacillus 53932007Neisseriaceae 115072003Gram-negative aerobic rod 115172000Neisseriales 427587002Gram-negative bacillus 87172008Aerobic bacteria 27471002Gram-negative coccus 18383003Form-bacillus 416455007Cocci 83045001Betaproteobacteria 409853001Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3807,78676004,Kingella denitrificans,active,2002-01-31,Kingella denitrificans (organism),CDC group TM-1Kingella denitrificans,Kingella 32017003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Gram-negative aerobic rod 115172000 Kingella 32017003 Kingella denitrificans 78676004,sorted most to least specificKingella 32017003Gram-negative coccobacillus 53932007Gram-negative aerobic rod 115172000Neisseriaceae 115072003Neisseriales 427587002Gram-negative bacillus 87172008Gram-negative coccus 18383003Aerobic bacteria 27471002Form-bacillus 416455007Cocci 83045001Betaproteobacteria 409853001Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3809,116392009,Suttonella indologenes,active,2002-01-31,Suttonella indologenes (organism),Suttonella indologenesKingella indologenes,Suttonella 116391002,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Gammaproteobacteria 413864003 Cardiobacteriales 427116005 Family Cardiobacteriaceae 427126003 Suttonella 116391002 Suttonella indologenes 116392009,sorted most to least specificSuttonella 116391002Family Cardiobacteriaceae 427126003Cardiobacteriales 427116005Gammaproteobacteria 413864003Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3811,90422000,Kingella kingae,active,2002-01-31,Kingella kingae (organism),Moraxella kingaeKingella kingaeMoraxella kingii,Kingella 32017003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Gram-negative aerobic rod 115172000 Kingella 32017003 Kingella kingae 90422000,sorted most to least specificKingella 32017003Gram-negative coccobacillus 53932007Gram-negative aerobic rod 115172000Neisseriaceae 115072003Neisseriales 427587002Gram-negative bacillus 87172008Gram-negative coccus 18383003Aerobic bacteria 27471002Form-bacillus 416455007Cocci 83045001Betaproteobacteria 409853001Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3813,129080004,Kingella oralis,active,2002-01-31,Kingella oralis (organism),Kingella oraleKingella oralis,Kingella 32017003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Gram-negative aerobic rod 115172000 Kingella 32017003 Kingella oralis 129080004,sorted most to least specificKingella 32017003Gram-negative coccobacillus 53932007Gram-negative aerobic rod 115172000Neisseriaceae 115072003Neisseriales 427587002Gram-negative bacillus 87172008Gram-negative coccus 18383003Aerobic bacteria 27471002Form-bacillus 416455007Cocci 83045001Betaproteobacteria 409853001Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3815,423288009,Kingella potus,active,2007-01-31,Kingella potus (organism),Kingella potus,Kingella 32017003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Gram-negative aerobic rod 115172000 Kingella 32017003 Kingella potus 423288009,sorted most to least specificKingella 32017003Gram-negative coccobacillus 53932007Gram-negative aerobic rod 115172000Neisseriaceae 115072003Neisseriales 427587002Gram-negative bacillus 87172008Gram-negative coccus 18383003Aerobic bacteria 27471002Form-bacillus 416455007Cocci 83045001Betaproteobacteria 409853001Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3817,75032006,Klebsiella,active,2002-01-31,Genus Klebsiella (organism),KlebsiellaGenus KlebsiellaKlebsiella species,Enterobacteriaceae 106544002,"Extended spectrum beta-lactamase producing Klebsiella 770390002Klebsiella aerogenes 62592009Klebsiella aerogenes biovar pneumoniae 243299003 removed: 2018-07-31Klebsiella enterobacter species 417120008 removed: 2007-07-31Klebsiella granulomatis 417443008Klebsiella group 47 114458009Klebsiella mobilis 114459001 removed: 2016-07-31Klebsiella ornithinolytica 114457004 removed: 2005-07-31Klebsiella oxytoca 40886007Klebsiella planticola 3615007 removed: 2005-07-31Klebsiella pneumoniae 56415008Klebsiella quasipneumoniae 781054004Klebsiella singaporensis 433047006Klebsiella species 131269001 removed: 2015-01-31Klebsiella species, not Klebsiella pneumoniae and not Klebsiella oxytoca 720607001Klebsiella terrigena 5231008 removed: 2005-07-31Klebsiella variicola 431976004",a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Klebsiella 75032006,sorted most to least specificEnterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gram-negative bacillus 87172008Gammaproteobacteria 413864003Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3823,416832000,Raoultella ornithinolytica,active,2005-07-31,Raoultella ornithinolytica (organism),Raoultella ornithinolyticaKlebsiella ornithinolytica,Raoultella 417468005,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Raoultella 417468005 Raoultella ornithinolytica 416832000,sorted most to least specificRaoultella 417468005Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3825,40886007,Klebsiella oxytoca,active,2002-01-31,Klebsiella oxytoca (organism),Klebsiella oxytoca,Klebsiella 75032006,Carbapenem resistant Klebsiella oxytoca 719792001Extended spectrum beta-lactamase producing Klebsiella oxytoca 713928005,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Klebsiella 75032006 Klebsiella oxytoca 40886007,sorted most to least specificKlebsiella 75032006Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3827,65186004,Klebsiella pneumoniae ss. ozaenae,active,2002-01-31,Klebsiella pneumoniae ss. ozaenae (organism),Klebsiella pneumoniae ss. ozaenaeKlebsiella ozaenaeKlebsiella pneumoniae subsp ozaenae,Klebsiella pneumoniae 56415008,Multiple drug-resistant Klebsiella pneumoniae subsp. ozaenae 713926009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Klebsiella 75032006 Klebsiella pneumoniae 56415008 Klebsiella pneumoniae ss. ozaenae 65186004,sorted most to least specificKlebsiella pneumoniae 56415008Klebsiella 75032006Enterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3829,416264004,Raoultella planticola,active,2005-07-31,Raoultella planticola (organism),Raoultella planticolaKlebsiella planticolaKlebsiella trevisanii,Raoultella 417468005,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Raoultella 417468005 Raoultella planticola 416264004,sorted most to least specificRaoultella 417468005Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3831,56415008,Klebsiella pneumoniae,active,2002-01-31,Klebsiella pneumoniae (organism),Klebsiella pneumoniaeFriedlander's bacillus,Klebsiella 75032006,Carbapenem resistant Klebsiella pneumoniae 446870005Carbapenem-resistant Klebsiella pneumonia 101000124104 removed: 2011-03-01Extended spectrum beta-lactamase producing Klebsiella pneumoniae 409801009Klebsiella pneumoniae ss. ozaenae 65186004Klebsiella pneumoniae ss. pneumoniae 18400002Klebsiella pneumoniae ss. rhinoscleromatis 17688001KPC-2 producing Klebsiella pneumoniae 713171002Multiple drug-resistant Klebsiella pneumoniae 714315002,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Klebsiella 75032006 Klebsiella pneumoniae 56415008,sorted most to least specificKlebsiella 75032006Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3835,18400002,Klebsiella pneumoniae ss. pneumoniae,active,2002-01-31,Klebsiella pneumoniae ss. pneumoniae (organism),Klebsiella pneumoniae subsp pneumoniaeKlebsiella pneumoniae ss. pneumoniae,Klebsiella pneumoniae 56415008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Klebsiella 75032006 Klebsiella pneumoniae 56415008 Klebsiella pneumoniae ss. pneumoniae 18400002,sorted most to least specificKlebsiella pneumoniae 56415008Klebsiella 75032006Enterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3837,17688001,Klebsiella pneumoniae ss. rhinoscleromatis,active,2002-01-31,Klebsiella pneumoniae ss. rhinoscleromatis (organism),Klebsiella pneumoniae subsp rhinoscleromatisKlebsiella pneumoniae ss. rhinoscleromatisKlebsiella rhinoscleromatis,Klebsiella pneumoniae 56415008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Klebsiella 75032006 Klebsiella pneumoniae 56415008 Klebsiella pneumoniae ss. rhinoscleromatis 17688001,sorted most to least specificKlebsiella pneumoniae 56415008Klebsiella 75032006Enterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3841,433047006,Klebsiella singaporensis,active,2008-07-31,Klebsiella singaporensis (organism),Klebsiella singaporensis,Klebsiella 75032006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Klebsiella 75032006 Klebsiella singaporensis 433047006,sorted most to least specificKlebsiella 75032006Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3843,416096003,Raoultella terrigena,active,2005-07-31,Raoultella terrigena (organism),Raoultella terrigenaKlebsiella terrigena,Raoultella 417468005,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Raoultella 417468005 Raoultella terrigena 416096003,sorted most to least specificRaoultella 417468005Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3847,431976004,Klebsiella variicola,active,2008-07-31,Klebsiella variicola (organism),Klebsiella variicola,Klebsiella 75032006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Klebsiella 75032006 Klebsiella variicola 431976004,sorted most to least specificKlebsiella 75032006Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3849,61161003,Kluyvera,active,2002-01-31,Genus Kluyvera (organism),KluyveraGenus KluyveraKluyvera species,Enterobacteriaceae 106544002,Kluyvera ascorbata 58493008Kluyvera bacillosporus 243300006Kluyvera cryocrescens 32547006Kluyvera georgiana 416156003Kluyvera intermedia 431977008Kluyvera species 131270000 removed: 2015-01-31,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Kluyvera 61161003,sorted most to least specificEnterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gram-negative bacillus 87172008Gammaproteobacteria 413864003Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
3851,58493008,Kluyvera ascorbata,active,2002-01-31,Kluyvera ascorbata (organism),Kluyvera ascorbata,Kluyvera 61161003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Kluyvera 61161003 Kluyvera ascorbata 58493008,sorted most to least specificKluyvera 61161003Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
3853,32547006,Kluyvera cryocrescens,active,2002-01-31,Kluyvera cryocrescens (organism),Kluyvera cryocrescens,Kluyvera 61161003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Kluyvera 61161003 Kluyvera cryocrescens 32547006,sorted most to least specificKluyvera 61161003Enterobacteriaceae 106544002Coliform bacteria 77309002Order Enterobacterales 417937002Facultatively anaerobic gram-negative rod 115173005Gammaproteobacteria 413864003Gram-negative bacillus 87172008Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
